英単語,日本語意味,英語意味
about,約,on the move
above,上記,an earlier section of a written text
action,アクション,something done (usually as opposed to something said)
activity,アクティビティ,any specific behavior
actor,俳優,a theatrical performer
add,追加,a condition (mostly in boys) characterized by behavioral and learning disorders
address,住所,(computer science) the code that identifies where a piece of information is stored
afraid,恐れ,filled with fear or apprehension
after,後に,located farther aft
afternoon,午後,the part of the day between noon and evening
again,再び,anew
age,年齢,how long something has existed
ago,前,gone by; or in the past
agree,一致します,be in accord; be in agreement
airplane,飛行機,an aircraft that has a fixed wing and is powered by propellers or jets
airport,空港,an airfield equipped with control tower and hangars as well as accommodations for passengers and cargo
album,アルバム,one or more recordings issued together; originally released on 12-inch phonograph records (usually with attractive record covers) and later on cassette audiotape and compact disc
all,すべて,quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class
almost,ほとんど,(of actions or states) slightly short of or not quite accomplished; all but
alone,一人で,isolated from others
along,沿って,with a forward motion
already,既に,prior to a specified or implied time
also,さらに,in addition
always,常に,at all times; all the time and on every occasion
am,午前,a radioactive transuranic metallic element; discovered by bombarding uranium with helium atoms
angry,怒りました,feeling or showing anger
animal,動物,a living organism characterized by voluntary movement
another,別の,any of various alternatives; some other
answer,回答,a statement (either spoken or written) that is made to reply to a question or request or criticism or accusation
any,どれか,one or some or every or all without specification
apple,林檎,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh
April,四月,the month following March and preceding May
apron,エプロン,a garment of cloth or leather or plastic that is tied about the waist and worn to protect your clothing
are,あります,a unit of surface area equal to 100 square meters
arm,腕,a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb
around,周りに,in the area or vicinity
arrive,着きます,reach a destination; arrive by movement or progress
art,アート,the products of human creativity; works of art collectively
article,論文,nonfictional prose forming an independent part of a publication
as,なので,a very poisonous metallic element that has three allotropic forms; arsenic and arsenic compounds are used as herbicides and insecticides and various alloys; found in arsenopyrite and orpiment and realgar
ask,頼みます,inquire about
at,に,a highly unstable radioactive element (the heaviest of the halogen series); a decay product of uranium and thorium
August,八月,the month following July and preceding September
aunt,叔母,the sister of your father or mother; the wife of your uncle
autumn,秋,the season when the leaves fall from the trees
awake,起きている,stop sleeping
away,先に,not present; having left
baby,赤ちゃん,a very young child (birth to 1 year) who has not yet begun to walk or talk
back,裏面,the posterior part of a human (or animal) body from the neck to the end of the spine
bad,悪い,that which is below standard or expectations as of ethics or decency
bag,バッグ,a flexible container with a single opening
ball,玉,round object that is hit or thrown or kicked in games
banana,バナナ,any of several tropical and subtropical treelike herbs of the genus Musa having a terminal crown of large entire leaves and usually bearing hanging clusters of elongated fruits
band,バンド,an unofficial association of people or groups
bank,バンク,sloping land (especially the slope beside a body of water)
bar,バー,a room or establishment where alcoholic drinks are served over a counter
baseball,野球,a ball game played with a bat and ball between two teams of nine players; teams take turns at bat trying to score runs
basketball,バスケットボール,a game played on a court by two opposing teams of 5 players; points are scored by throwing the ball through an elevated horizontal hoop
bat,コウモリ,nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate
bath,浴,a vessel containing liquid in which something is immersed (as to process it or to maintain it at a constant temperature or to lubricate it)
bathroom,バスルーム,a room (as in a residence) containing a bathtub or shower and usually a washbasin and toilet
be,されます,a light strong brittle grey toxic bivalent metallic element
beach,ビーチ,an area of sand sloping down to the water of a sea or lake
bean,豆,any of various edible seeds of plants of the family Leguminosae used for food
bear,くま,massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws
beautiful,綺麗な,delighting the senses or exciting intellectual or emotional admiration
become,なります,enter or assume a certain state or condition
bed,ベッド,a piece of furniture that provides a place to sleep
bedroom,ベッドルーム,a room used primarily for sleeping
bee,蜂,any of numerous hairy-bodied insects including social and solitary species
beef,牛肉,cattle that are reared for their meat
before,前,earlier in time; previously
begin,ベギン,Israeli statesman (born in Russia) who (as prime minister of Israel) negotiated a peace treaty with Anwar Sadat (then the president of Egypt) (1913-1992)
behind,後ろに,the fleshy part of the human body that you sit on
being,であること,the state or fact of existing
believe,信じます,accept as true; take to be true
bell,ベル,a hollow device made of metal that makes a ringing sound when struck
below,未満,in or to a place that is lower
best,ベスト,the supreme effort one can make
better,よりよいです,something superior in quality or condition or effect
between,の間に,in the interval
bicycle,自転車,a wheeled vehicle that has two wheels and is moved by foot pedals
big,大きい,above average in size or number or quantity or magnitude or extent
bike,自転車,a motor vehicle with two wheels and a strong frame
bird,鳥,warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings
birth,誕生,the time when something begins (especially life)
birthday,お誕生日,an anniversary of the day on which a person was born (or the celebration of it)
biscuit,ビスケット,small round bread leavened with baking-powder or soda
black,黒,the quality or state of the achromatic color of least lightness (bearing the least resemblance to white)
blank,ブランク,a blank character used to separate successive words in writing or printing
block,ブロック,a solid piece of something (usually having flat rectangular sides)
blow,ブロー,a powerful stroke with the fist or a weapon
blue,青い,blue color or pigment; resembling the color of the clear sky in the daytime
board,ボード,a committee having supervisory powers
boat,ボート,a small vessel for travel on water
body,体,"the entire structure of an organism (an animal, plant, or human being)"
bone,骨,rigid connective tissue that makes up the skeleton of vertebrates
book,本,a written work or composition that has been published (printed on pages bound together)
bookstore,本屋,a shop where books are sold
boring,退屈な,the act of drilling
borrow,かりて,get temporarily
both,どちらも,(used with count nouns) two considered together; the two
bottle,ボトル,a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped
bottom,ボトム,the lower side of anything
bowl,丼鉢,a round vessel that is open at the top; used chiefly for holding food or liquids
box,ボックス,a (usually rectangular) container; may have a lid
boy,男の子,a youthful male person
boyfriend,彼氏,a man who is the lover of a girl or young woman
brain,脳,that part of the central nervous system that includes all the higher nervous centers; enclosed within the skull; continuous with the spinal cord
bread,パン,food made from dough of flour or meal and usually raised with yeast or baking powder and then baked
break,ブレーク,some abrupt occurrence that interrupts an ongoing activity
breakfast,朝ごはん,the first meal of the day (usually in the morning)
breathe,息をします,"draw air into, and expel out of, the lungs"
bridge,ブリッジ,a structure that allows people or vehicles to cross an obstacle such as a river or canal or railway etc.
bright,明るい,emitting or reflecting light readily or in large amounts
bring,持って来ます,take something or somebody with oneself somewhere
broken,壊れた,terminate
brother,兄,a male with the same parents as someone else
brown,褐色,an orange of low brightness and saturation
brush,みがきます,a dense growth of bushes
bucket,バケツ,a roughly cylindrical vessel that is open at the top
build,ビルド,constitution of the human body
building,建物,a structure that has a roof and walls and stands more or less permanently in one place
burger,バーガー,United States jurist appointed chief justice of the United States Supreme Court by Richard Nixon (1907-1995)
bus,バス,a vehicle carrying many passengers; used for public transport
business,ビジネス,a commercial or industrial enterprise and the people who constitute it
busy,忙しい,keep busy with
but,だが,and nothing more
butter,バター,an edible emulsion of fat globules made by churning milk or cream; for cooking and table use
butterfly,バタフライ,diurnal insect typically having a slender body with knobbed antennae and broad colorful wings
button,ボタン,a round fastener sewn to shirts and coats etc to fit through buttonholes
buy,購入,an advantageous purchase
by,沿って,so as to pass a given point
bye,バイ,you advance to the next round in a tournament without playing an opponent
cafe,カフェ,a small restaurant where drinks and snacks are sold
cake,ケーキ,a block of solid substance (such as soap or wax)
call,コール,a telephone connection
camera,カメラ,equipment for taking photographs (usually consisting of a lightproof box with a lens at one end and light-sensitive film at the other)
camp,キャンプ,temporary living quarters specially built by the army for soldiers
can,できる,airtight sealed metal container for food or drink or paint etc.
candy,キャンディー,a rich sweet made of flavored sugar and often combined with fruit or nuts
cap,キャップ,a tight-fitting headdress
car,車,a motor vehicle with four wheels; usually propelled by an internal combustion engine
card,カード,one of a set of small pieces of stiff paper marked in various ways and used for playing games or for telling fortunes
care,お手入れ,the work of providing treatment for or attending to someone or something
careful,注意深いです,exercising caution or showing care or attention
carefully,注意深く,taking care or paying attention
carry,運ぶ,the act of carrying something
cartoon,漫画,a humorous or satirical drawing published in a newspaper or magazine
case,場合,an occurrence of something
cat,ネコ,feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats
catch,キャッチ,a drawback or difficulty that is not readily evident
